Terytorium;Przystąpiło/zdało ;Płeć ;Rok;Liczba osób
Kujawsko-pomorskie;Przystąpiło;kobiety;2017;7359
Kujawsko-pomorskie;Przystąpiło;mężczyźni;2018;5615
Kujawsko-pomorskie;Przystąpiło;kobiety;2018;6883
Kujawsko-pomorskie;zdało;mężczyźni;2010;6642
Kujawsko-pomorskie;zdało;kobiety;2010;8803
Kujawsko-pomorskie;zdało;mężczyźni;2011;5733
Kujawsko-pomorskie;zdało;kobiety;2011;7696
Kujawsko-pomorskie;zdało;mężczyźni;2012;5798
Kujawsko-pomorskie;zdało;kobiety;2012;7689
Kujawsko-pomorskie;zdało;mężczyźni;2013;5814
Kujawsko-pomorskie;zdało;kobiety;2013;7705
Kujawsko-pomorskie;zdało;mężczyźni;2014;4808
Kujawsko-pomorskie;zdało;kobiety;2014;6166
Kujawsko-pomorskie;zdało;mężczyźni;2015;4930
Kujawsko-pomorskie;zdało;kobiety;2015;5990
Kujawsko-pomorskie;zdało;mężczyźni;2016;4736
Kujawsko-pomorskie;zdało;kobiety;2016;5920
Kujawsko-pomorskie;zdało;mężczyźni;2017;4757
Kujawsko-pomorskie;zdało;kobiety;2017;5791
Kujawsko-pomorskie;zdało;mężczyźni;2018;4360
Kujawsko-pomorskie;zdało;kobiety;2018;5415
Lubelskie;Przystąpiło;mężczyźni;2010;10442
Lubelskie;Przystąpiło;kobiety;2010;13185
Lubelskie;Przystąpiło;mężczyźni;2011;10006
Lubelskie;Przystąpiło;kobiety;2011;12715
Lubelskie;Przystąpiło;mężczyźni;2012;9670
Lubelskie;Przystąpiło;kobiety;2012;11861
Lubelskie;Przystąpiło;mężczyźni;2013;9117
Lubelskie;Przystąpiło;kobiety;2013;11425
Lubelskie;Przystąpiło;mężczyźni;2014;8448
Lubelskie;Przystąpiło;kobiety;2014;10361
Lubelskie;Przystąpiło;mężczyźni;2015;7807
Lubelskie;Przystąpiło;kobiety;2015;9656
Lubelskie;Przystąpiło;mężczyźni;2016;7336
Lubelskie;Przystąpiło;kobiety;2016;9096
Lubelskie;Przystąpiło;mężczyźni;2017;7512
Lubelskie;Przystąpiło;kobiety;2017;9234
Lubelskie;Przystąpiło;mężczyźni;2018;2543
Lubelskie;Przystąpiło;kobiety;2018;3160
Lubelskie;zdało;mężczyźni;2010;8124
Lubelskie;zdało;kobiety;2010;10738
Lubelskie;zdało;mężczyźni;2011;7246
Lubelskie;zdało;kobiety;2011;9574
Lubelskie;zdało;mężczyźni;2012;7594
Lubelskie;zdało;kobiety;2012;9627
Lubelskie;zdało;mężczyźni;2013;7186
Lubelskie;zdało;kobiety;2013;9300
Lubelskie;zdało;mężczyźni;2014;5752
Lubelskie;zdało;kobiety;2014;7458
Lubelskie;zdało;mężczyźni;2015;5617
Lubelskie;zdało;kobiety;2015;7102
Lubelskie;zdało;mężczyźni;2016;5761
Lubelskie;zdało;kobiety;2016;7287
Lubelskie;zdało;mężczyźni;2017;5783
Lubelskie;zdało;kobiety;2017;7247
Lubelskie;zdało;mężczyźni;2018;2043
Lubelskie;zdało;kobiety;2018;2502
Lubuskie;Przystąpiło;mężczyźni;2010;3745
Lubuskie;Przystąpiło;kobiety;2010;5079
Lubuskie;Przystąpiło;mężczyźni;2011;3351
Lubuskie;Przystąpiło;kobiety;2011;4439
Lubuskie;Przystąpiło;mężczyźni;2012;3203
Lubuskie;Przystąpiło;kobiety;2012;4353
Lubuskie;Przystąpiło;mężczyźni;2013;3121
Lubuskie;Przystąpiło;kobiety;2013;4222
Lubuskie;Przystąpiło;mężczyźni;2014;3028
Lubuskie;Przystąpiło;kobiety;2014;3959
Lubuskie;Przystąpiło;mężczyźni;2015;2811
Lubuskie;Przystąpiło;kobiety;2015;3532
Lubuskie;Przystąpiło;mężczyźni;2016;2520
Lubuskie;Przystąpiło;kobiety;2016;3244
Lubuskie;Przystąpiło;mężczyźni;2017;2687
Lubuskie;Przystąpiło;kobiety;2017;3272
Lubuskie;Przystąpiło;mężczyźni;2018;7219
Lubuskie;Przystąpiło;kobiety;2018;8531
Lubuskie;zdało;mężczyźni;2010;3067
Lubuskie;zdało;kobiety;2010;4197
Lubuskie;zdało;mężczyźni;2011;2593
Lubuskie;zdało;kobiety;2011;3378
Lubuskie;zdało;mężczyźni;2012;2684
Lubuskie;zdało;kobiety;2012;3538
Lubuskie;zdało;mężczyźni;2013;2608
Lubuskie;zdało;kobiety;2013;3498
Lubuskie;zdało;mężczyźni;2014;2260
Lubuskie;zdało;kobiety;2014;2887
Lubuskie;zdało;mężczyźni;2015;2166
Lubuskie;zdało;kobiety;2015;2642
Lubuskie;zdało;mężczyźni;2016;2068
Lubuskie;zdało;kobiety;2016;2631
Lubuskie;zdało;mężczyźni;2017;2185
Lubuskie;zdało;kobiety;2017;2568
Lubuskie;zdało;mężczyźni;2018;5562
Lubuskie;zdało;kobiety;2018;6926
Łódzkie;Przystąpiło;mężczyźni;2010;10280
Łódzkie;Przystąpiło;kobiety;2010;13152
Łódzkie;Przystąpiło;mężczyźni;2011;9715
Łódzkie;Przystąpiło;kobiety;2011;12110
Łódzkie;Przystąpiło;mężczyźni;2012;9181
Łódzkie;Przystąpiło;kobiety;2012;11925
Łódzkie;Przystąpiło;mężczyźni;2013;8985
Łódzkie;Przystąpiło;kobiety;2013;11134
Łódzkie;Przystąpiło;mężczyźni;2014;8318
Łódzkie;Przystąpiło;kobiety;2014;10353
Łódzkie;Przystąpiło;mężczyźni;2015;7896
Łódzkie;Przystąpiło;kobiety;2015;9600
Łódzkie;Przystąpiło;mężczyźni;2016;7462
Łódzkie;Przystąpiło;kobiety;2016;8940
Łódzkie;Przystąpiło;mężczyźni;2017;7233
Łódzkie;Przystąpiło;kobiety;2017;8956
Łódzkie;Przystąpiło;mężczyźni;2018;7178
Łódzkie;Przystąpiło;kobiety;2018;8480
Łódzkie;zdało;mężczyźni;2010;8243
Łódzkie;zdało;kobiety;2010;10951
Łódzkie;zdało;mężczyźni;2011;7330
Łódzkie;zdało;kobiety;2011;9257
Łódzkie;zdało;mężczyźni;2012;7287
Łódzkie;zdało;kobiety;2012;9616
Łódzkie;zdało;mężczyźni;2013;7097
Łódzkie;zdało;kobiety;2013;9109
Łódzkie;zdało;mężczyźni;2014;5777
Łódzkie;zdało;kobiety;2014;7538
Łódzkie;zdało;mężczyźni;2015;5843
Łódzkie;zdało;kobiety;2015;7080
Łódzkie;zdało;mężczyźni;2016;5820
Łódzkie;zdało;kobiety;2016;7284
Łódzkie;zdało;mężczyźni;2017;5699
Łódzkie;zdało;kobiety;2017;7166
Łódzkie;zdało;mężczyźni;2018;5583
Łódzkie;zdało;kobiety;2018;6833
Małopolskie;Przystąpiło;mężczyźni;2010;15190
Małopolskie;Przystąpiło;kobiety;2010;19794
Małopolskie;Przystąpiło;mężczyźni;2011;14637
Małopolskie;Przystąpiło;kobiety;2011;18681
Małopolskie;Przystąpiło;mężczyźni;2012;13877
Małopolskie;Przystąpiło;kobiety;2012;17914
Małopolskie;Przystąpiło;mężczyźni;2013;13273
Małopolskie;Przystąpiło;kobiety;2013;16982
Małopolskie;Przystąpiło;mężczyźni;2014;12562
Małopolskie;Przystąpiło;kobiety;2014;15697
Małopolskie;Przystąpiło;mężczyźni;2015;11843
Małopolskie;Przystąpiło;kobiety;2015;14577
Małopolskie;Przystąpiło;mężczyźni;2016;11143
Małopolskie;Przystąpiło;kobiety;2016;13893
Małopolskie;Przystąpiło;mężczyźni;2017;11016
Małopolskie;Przystąpiło;kobiety;2017;13789
Małopolskie;Przystąpiło;mężczyźni;2018;11042
Małopolskie;Przystąpiło;kobiety;2018;13826
Małopolskie;zdało;mężczyźni;2010;12328
Małopolskie;zdało;kobiety;2010;16558
Małopolskie;zdało;mężczyźni;2011;11328
Małopolskie;zdało;kobiety;2011;14413
Małopolskie;zdało;mężczyźni;2012;11427
Małopolskie;zdało;kobiety;2012;14782
Małopolskie;zdało;mężczyźni;2013;10931
Małopolskie;zdało;kobiety;2013;14343
Małopolskie;zdało;mężczyźni;2014;8951
Małopolskie;zdało;kobiety;2014;11630
Małopolskie;zdało;mężczyźni;2015;9173
Małopolskie;zdało;kobiety;2015;11297
Małopolskie;zdało;mężczyźni;2016;9152
Małopolskie;zdało;kobiety;2016;11410
Małopolskie;zdało;mężczyźni;2017;9002
Małopolskie;zdało;kobiety;2017;11482
Małopolskie;zdało;mężczyźni;2018;9099
Małopolskie;zdało;kobiety;2018;11580
Mazowieckie;Przystąpiło;mężczyźni;2010;22265
Mazowieckie;Przystąpiło;kobiety;2010;27651
Mazowieckie;Przystąpiło;mężczyźni;2011;20920
Mazowieckie;Przystąpiło;kobiety;2011;26010
Mazowieckie;Przystąpiło;mężczyźni;2012;20796
Mazowieckie;Przystąpiło;kobiety;2012;25683
Mazowieckie;Przystąpiło;mężczyźni;2013;20071
Mazowieckie;Przystąpiło;kobiety;2013;24151
Mazowieckie;Przystąpiło;mężczyźni;2014;19384
Mazowieckie;Przystąpiło;kobiety;2014;23365
Mazowieckie;Przystąpiło;mężczyźni;2015;18074
Mazowieckie;Przystąpiło;kobiety;2015;21622
Mazowieckie;Przystąpiło;mężczyźni;2016;17140
Mazowieckie;Przystąpiło;kobiety;2016;20468
Mazowieckie;Przystąpiło;mężczyźni;2017;17474
Mazowieckie;Przystąpiło;kobiety;2017;20174
Mazowieckie;Przystąpiło;mężczyźni;2018;17099
Mazowieckie;Przystąpiło;kobiety;2018;19815
Mazowieckie;zdało;mężczyźni;2010;18015
Mazowieckie;zdało;kobiety;2010;22719
Mazowieckie;zdało;mężczyźni;2011;15920
Mazowieckie;zdało;kobiety;2011;19934
Mazowieckie;zdało;mężczyźni;2012;16628
Mazowieckie;zdało;kobiety;2012;20818
Mazowieckie;zdało;mężczyźni;2013;16004
Mazowieckie;zdało;kobiety;2013;19783
Mazowieckie;zdało;mężczyźni;2014;13571
Mazowieckie;zdało;kobiety;2014;16901
Mazowieckie;zdało;mężczyźni;2015;13439
Mazowieckie;zdało;kobiety;2015;16255
Mazowieckie;zdało;mężczyźni;2016;13982
Mazowieckie;zdało;kobiety;2016;16672
Mazowieckie;zdało;mężczyźni;2017;13953
Mazowieckie;zdało;kobiety;2017;16290
Mazowieckie;zdało;mężczyźni;2018;13712
Mazowieckie;zdało;kobiety;2018;16256
Opolskie;Przystąpiło;mężczyźni;2010;4148
Opolskie;Przystąpiło;kobiety;2010;5067
Opolskie;Przystąpiło;mężczyźni;2011;3597
Opolskie;Przystąpiło;kobiety;2011;4638
Opolskie;Przystąpiło;mężczyźni;2012;3502
Opolskie;Przystąpiło;kobiety;2012;4378
Opolskie;Przystąpiło;mężczyźni;2013;3303
Opolskie;Przystąpiło;kobiety;2013;4104
Opolskie;Przystąpiło;mężczyźni;2014;2970
Opolskie;Przystąpiło;kobiety;2014;3863
Opolskie;Przystąpiło;mężczyźni;2015;2888
Opolskie;Przystąpiło;kobiety;2015;3488
Opolskie;Przystąpiło;mężczyźni;2016;2665
Opolskie;Przystąpiło;kobiety;2016;3446
Opolskie;Przystąpiło;mężczyźni;2017;2686
Opolskie;Przystąpiło;kobiety;2017;3385
Opolskie;Przystąpiło;mężczyźni;2018;2522
Opolskie;Przystąpiło;kobiety;2018;3035
Opolskie;zdało;mężczyźni;2010;3368
Opolskie;zdało;kobiety;2010;4185
Opolskie;zdało;mężczyźni;2011;2661
Opolskie;zdało;kobiety;2011;3510
Opolskie;zdało;mężczyźni;2012;2756
Opolskie;zdało;kobiety;2012;3533
Opolskie;zdało;mężczyźni;2013;2610
Opolskie;zdało;kobiety;2013;3375
Opolskie;zdało;mężczyźni;2014;2019
Opolskie;zdało;kobiety;2014;2754
Opolskie;zdało;mężczyźni;2015;2188
Opolskie;zdało;kobiety;2015;2622
Opolskie;zdało;mężczyźni;2016;2132
Opolskie;zdało;kobiety;2016;2708
Opolskie;zdało;mężczyźni;2017;2093
Opolskie;zdało;kobiety;2017;2619
Opolskie;zdało;mężczyźni;2018;1971
Opolskie;zdało;kobiety;2018;2384
Podkarpackie;Przystąpiło;mężczyźni;2010;10459
Podkarpackie;Przystąpiło;kobiety;2010;13194
Podkarpackie;Przystąpiło;mężczyźni;2011;9937
Podkarpackie;Przystąpiło;kobiety;2011;12784
Podkarpackie;Przystąpiło;mężczyźni;2012;9405
Podkarpackie;Przystąpiło;kobiety;2012;12344
Podkarpackie;Przystąpiło;mężczyźni;2013;8959
Podkarpackie;Przystąpiło;kobiety;2013;11403
Podkarpackie;Przystąpiło;mężczyźni;2014;8437
Podkarpackie;Przystąpiło;kobiety;2014;10449
Podkarpackie;Przystąpiło;mężczyźni;2015;8154
Podkarpackie;Przystąpiło;kobiety;2015;9826
Podkarpackie;Przystąpiło;mężczyźni;2016;7463
Podkarpackie;Przystąpiło;kobiety;2016;9373
Podkarpackie;Przystąpiło;mężczyźni;2017;7575
Podkarpackie;Przystąpiło;kobiety;2017;9385
Podkarpackie;Przystąpiło;mężczyźni;2018;7244
Podkarpackie;Przystąpiło;kobiety;2018;8667
Podkarpackie;zdało;mężczyźni;2010;8263
Podkarpackie;zdało;kobiety;2010;10890
Podkarpackie;zdało;mężczyźni;2011;7303
Podkarpackie;zdało;kobiety;2011;9632
Podkarpackie;zdało;mężczyźni;2012;7408
Podkarpackie;zdało;kobiety;2012;9900
Podkarpackie;zdało;mężczyźni;2013;7056
Podkarpackie;zdało;kobiety;2013;9485
Podkarpackie;zdało;mężczyźni;2014;5678
Podkarpackie;zdało;kobiety;2014;7663
Podkarpackie;zdało;mężczyźni;2015;6035
Podkarpackie;zdało;kobiety;2015;7394
Podkarpackie;zdało;mężczyźni;2016;5870
Podkarpackie;zdało;kobiety;2016;7608
Podkarpackie;zdało;mężczyźni;2017;5850
Podkarpackie;zdało;kobiety;2017;7355
Podkarpackie;zdało;mężczyźni;2018;5712
Podkarpackie;zdało;kobiety;2018;7112
Podlaskie;Przystąpiło;mężczyźni;2010;6004
Podlaskie;Przystąpiło;kobiety;2010;7371
Podlaskie;Przystąpiło;mężczyźni;2011;5643
Podlaskie;Przystąpiło;kobiety;2011;6970
Podlaskie;Przystąpiło;mężczyźni;2012;5483
Podlaskie;Przystąpiło;kobiety;2012;6721
Podlaskie;Przystąpiło;mężczyźni;2013;5360
Podlaskie;Przystąpiło;kobiety;2013;6375
Podlaskie;Przystąpiło;mężczyźni;2014;4867
Podlaskie;Przystąpiło;kobiety;2014;5907
Podlaskie;Przystąpiło;mężczyźni;2015;4441
Podlaskie;Przystąpiło;kobiety;2015;5390
Podlaskie;Przystąpiło;mężczyźni;2016;4112
Podlaskie;Przystąpiło;kobiety;2016;5032
Podlaskie;Przystąpiło;mężczyźni;2017;4108
Podlaskie;Przystąpiło;kobiety;2017;4824
Podlaskie;Przystąpiło;mężczyźni;2018;3797
Podlaskie;Przystąpiło;kobiety;2018;4624
Podlaskie;zdało;mężczyźni;2010;4785
Podlaskie;zdało;kobiety;2010;6024
Podlaskie;zdało;mężczyźni;2011;4271
Podlaskie;zdało;kobiety;2011;5412
Podlaskie;zdało;mężczyźni;2012;4429
Podlaskie;zdało;kobiety;2012;5545
Podlaskie;zdało;mężczyźni;2013;4294
Podlaskie;zdało;kobiety;2013;5309
Podlaskie;zdało;mężczyźni;2014;3380
Podlaskie;zdało;kobiety;2014;4474
Podlaskie;zdało;mężczyźni;2015;3253
Podlaskie;zdało;kobiety;2015;4164
Podlaskie;zdało;mężczyźni;2016;3277
Podlaskie;zdało;kobiety;2016;4120
Podlaskie;zdało;mężczyźni;2017;3292
Podlaskie;zdało;kobiety;2017;3891
Podlaskie;zdało;mężczyźni;2018;3028
Podlaskie;zdało;kobiety;2018;3809
Pomorskie;Przystąpiło;mężczyźni;2010;9165
Pomorskie;Przystąpiło;kobiety;2010;11798
Pomorskie;Przystąpiło;mężczyźni;2011;8546
Pomorskie;Przystąpiło;kobiety;2011;10811
Pomorskie;Przystąpiło;mężczyźni;2012;8110
Pomorskie;Przystąpiło;kobiety;2012;10329
Pomorskie;Przystąpiło;mężczyźni;2013;7735
Pomorskie;Przystąpiło;kobiety;2013;9820
Pomorskie;Przystąpiło;mężczyźni;2014;7264
Pomorskie;Przystąpiło;kobiety;2014;9173
Pomorskie;Przystąpiło;mężczyźni;2015;7054
Pomorskie;Przystąpiło;kobiety;2015;8910
Pomorskie;Przystąpiło;mężczyźni;2016;6338
Pomorskie;Przystąpiło;kobiety;2016;8117
Pomorskie;Przystąpiło;mężczyźni;2017;6626
Pomorskie;Przystąpiło;kobiety;2017;8244
Pomorskie;Przystąpiło;mężczyźni;2018;6665
Pomorskie;Przystąpiło;kobiety;2018;7933
Pomorskie;zdało;mężczyźni;2010;7488
Pomorskie;zdało;kobiety;2010;9629
Pomorskie;zdało;mężczyźni;2011;6503
Pomorskie;zdało;kobiety;2011;7938
Pomorskie;zdało;mężczyźni;2012;6546
Pomorskie;zdało;kobiety;2012;8260
Pomorskie;zdało;mężczyźni;2013;6247
Pomorskie;zdało;kobiety;2013;7938
Pomorskie;zdało;mężczyźni;2014;5200
Pomorskie;zdało;kobiety;2014;6476
Pomorskie;zdało;mężczyźni;2015;5259
Pomorskie;zdało;kobiety;2015;6428
Pomorskie;zdało;mężczyźni;2016;5071
Pomorskie;zdało;kobiety;2016;6414
Pomorskie;zdało;mężczyźni;2017;5198
Pomorskie;zdało;kobiety;2017;6418
Pomorskie;zdało;mężczyźni;2018;5171
Pomorskie;zdało;kobiety;2018;6133
Śląskie;Przystąpiło;mężczyźni;2010;19020
Śląskie;Przystąpiło;kobiety;2010;22991
Śląskie;Przystąpiło;mężczyźni;2011;17624
Śląskie;Przystąpiło;kobiety;2011;21466
Śląskie;Przystąpiło;mężczyźni;2012;16497
Śląskie;Przystąpiło;kobiety;2012;19682
Śląskie;Przystąpiło;mężczyźni;2013;15809
Śląskie;Przystąpiło;kobiety;2013;19232
Śląskie;Przystąpiło;mężczyźni;2014;14522
Śląskie;Przystąpiło;kobiety;2014;17211
Śląskie;Przystąpiło;mężczyźni;2015;13707
Śląskie;Przystąpiło;kobiety;2015;16100
Śląskie;Przystąpiło;mężczyźni;2016;13039
Śląskie;Przystąpiło;kobiety;2016;15322
Śląskie;Przystąpiło;mężczyźni;2017;13288
Śląskie;Przystąpiło;kobiety;2017;15054
Śląskie;Przystąpiło;mężczyźni;2018;12633
Śląskie;Przystąpiło;kobiety;2018;14565
Śląskie;zdało;mężczyźni;2010;15412
Śląskie;zdało;kobiety;2010;19030
Śląskie;zdało;mężczyźni;2011;13276
Śląskie;zdało;kobiety;2011;16329
Śląskie;zdało;mężczyźni;2012;13214
Śląskie;zdało;kobiety;2012;16004
Śląskie;zdało;mężczyźni;2013;12800
Śląskie;zdało;kobiety;2013;15785
Śląskie;zdało;mężczyźni;2014;10163
Śląskie;zdało;kobiety;2014;12367
Śląskie;zdało;mężczyźni;2015;10354
Śląskie;zdało;kobiety;2015;12208
Śląskie;zdało;mężczyźni;2016;10086
Śląskie;zdało;kobiety;2016;11963
Śląskie;zdało;mężczyźni;2017;10242
Śląskie;zdało;kobiety;2017;11670
Śląskie;zdało;mężczyźni;2018;9851
Śląskie;zdało;kobiety;2018;11680
Świętokrzyskie;Przystąpiło;mężczyźni;2010;5943
Świętokrzyskie;Przystąpiło;kobiety;2010;7533
Świętokrzyskie;Przystąpiło;mężczyźni;2011;5590
Świętokrzyskie;Przystąpiło;kobiety;2011;7252
Świętokrzyskie;Przystąpiło;mężczyźni;2012;5442
Świętokrzyskie;Przystąpiło;kobiety;2012;7093
Świętokrzyskie;Przystąpiło;mężczyźni;2013;5179
Świętokrzyskie;Przystąpiło;kobiety;2013;6382
Świętokrzyskie;Przystąpiło;mężczyźni;2014;4776
Świętokrzyskie;Przystąpiło;kobiety;2014;6022
Świętokrzyskie;Przystąpiło;mężczyźni;2015;4471
Świętokrzyskie;Przystąpiło;kobiety;2015;5710
Świętokrzyskie;Przystąpiło;mężczyźni;2016;4229
Świętokrzyskie;Przystąpiło;kobiety;2016;5305
Świętokrzyskie;Przystąpiło;mężczyźni;2017;3969
Świętokrzyskie;Przystąpiło;kobiety;2017;5238
Świętokrzyskie;Przystąpiło;mężczyźni;2018;4066
Świętokrzyskie;Przystąpiło;kobiety;2018;4777
Świętokrzyskie;zdało;mężczyźni;2010;4604
Świętokrzyskie;zdało;kobiety;2010;6189
Świętokrzyskie;zdało;mężczyźni;2011;4156
Świętokrzyskie;zdało;kobiety;2011;5641
Świętokrzyskie;zdało;mężczyźni;2012;4152
Świętokrzyskie;zdało;kobiety;2012;5612
Świętokrzyskie;zdało;mężczyźni;2013;4030
Świętokrzyskie;zdało;kobiety;2013;5150
Świętokrzyskie;zdało;mężczyźni;2014;3268
Świętokrzyskie;zdało;kobiety;2014;4407
Świętokrzyskie;zdało;mężczyźni;2015;3302
Świętokrzyskie;zdało;kobiety;2015;4351
Świętokrzyskie;zdało;mężczyźni;2016;3322
Świętokrzyskie;zdało;kobiety;2016;4315
Świętokrzyskie;zdało;mężczyźni;2017;3035
Świętokrzyskie;zdało;kobiety;2017;4172
Świętokrzyskie;zdało;mężczyźni;2018;3208
Świętokrzyskie;zdało;kobiety;2018;3869
Warmińsko-Mazurskie;Przystąpiło;mężczyźni;2010;5889
Warmińsko-Mazurskie;Przystąpiło;kobiety;2010;7890
Warmińsko-Mazurskie;Przystąpiło;mężczyźni;2011;5701
Warmińsko-Mazurskie;Przystąpiło;kobiety;2011;7398
Warmińsko-Mazurskie;Przystąpiło;mężczyźni;2012;5315
Warmińsko-Mazurskie;Przystąpiło;kobiety;2012;7134
Warmińsko-Mazurskie;Przystąpiło;mężczyźni;2013;4979
Warmińsko-Mazurskie;Przystąpiło;kobiety;2013;6537
Warmińsko-Mazurskie;Przystąpiło;mężczyźni;2014;4729
Warmińsko-Mazurskie;Przystąpiło;kobiety;2014;6257
Warmińsko-Mazurskie;Przystąpiło;mężczyźni;2015;4382
Warmińsko-Mazurskie;Przystąpiło;kobiety;2015;5751
Warmińsko-Mazurskie;Przystąpiło;mężczyźni;2016;4048
Warmińsko-Mazurskie;Przystąpiło;kobiety;2016;5318
Warmińsko-Mazurskie;Przystąpiło;mężczyźni;2017;4126
Warmińsko-Mazurskie;Przystąpiło;kobiety;2017;5146
Warmińsko-Mazurskie;Przystąpiło;mężczyźni;2018;3919
Warmińsko-Mazurskie;Przystąpiło;kobiety;2018;4907
Warmińsko-Mazurskie;zdało;mężczyźni;2010;4745
Warmińsko-Mazurskie;zdało;kobiety;2010;6340
Warmińsko-Mazurskie;zdało;mężczyźni;2011;4174
Warmińsko-Mazurskie;zdało;kobiety;2011;5428
Warmińsko-Mazurskie;zdało;mężczyźni;2012;4125
Warmińsko-Mazurskie;zdało;kobiety;2012;5615
Warmińsko-Mazurskie;zdało;mężczyźni;2013;3926
Warmińsko-Mazurskie;zdało;kobiety;2013;5290
Warmińsko-Mazurskie;zdało;mężczyźni;2014;3174
Warmińsko-Mazurskie;zdało;kobiety;2014;4266
Warmińsko-Mazurskie;zdało;mężczyźni;2015;3164
Warmińsko-Mazurskie;zdało;kobiety;2015;4022
Warmińsko-Mazurskie;zdało;mężczyźni;2016;3085
Warmińsko-Mazurskie;zdało;kobiety;2016;4024
